Source,Target,Weight
HN,BJ,3388
HN,AG,3154
HN,CI,1481
HN,BB,2085
HN,BR,2304
HN,CH,2066
HN,CA,2674
HN,GA,1123
HN,GB,929
HN,GW,1653
HN,CO,14965
HN,DE,828
HN,CD,1174
HN,DJ,849
HN,GM,2612
HN,BF,1067
HN,BS,6175
HN,BD,893
HN,CM,1167
BE,BA,12918
BE,AE,4705
BE,BB,2501
BE,AM,10078
BE,AR,1380
BE,AL,22672
BE,AU,5093
BE,AG,2714
BE,AZ,1640
BE,AO,6070
BE,AT,16205
CA,BD,2169
CA,BR,1617
CA,BO,754
CA,BT,3276
CA,AE,15074
CA,BA,6036
CA,BW,3315
CA,BJ,4003
CA,BI,18952
CA,AL,6379
CA,BE,6895
CA,AM,3802
CA,AR,1107
CA,BN,5573
CA,BY,2048
CA,BZ,13490
CA,BG,3116
CA,BF,5696
CA,AU,19159
CA,AZ,1341
CA,AO,1650
CA,AT,5278
CA,BH,8925
SI,MU,1912
SI,ES,5794
SI,MA,995
SI,FI,9473
SI,GR,8164
SI,BZ,3078
SI,BS,1119
SI,LB,1381
SI,RO,5248
SI,AE,2993
SI,OM,697
SI,HK,1167
SI,PA,772
SI,BB,1857
SI,HU,15449
SI,DK,10278
SI,MG,880
SI,MN,738
SI,RW,1099
SI,JO,851
SI,QA,2274
SI,GA,890
SI,AM,1241
SI,GD,1192
SI,PT,7273
SI,CA,4173
SI,BJ,3498
SI,CR,1011
SI,AR,1404
SI,FR,4545
SI,BE,13643
SI,JP,974
SI,LT,6622
SI,CL,884
SI,KZ,976
SI,AG,1649
SI,LC,1641
SI,AL,18000
SI,KE,697
SI,GH,1116
SI,KW,1030
SI,BY,6103
SI,MD,3317
SI,EE,10690
SI,CY,12596
SI,IE,9391
SI,MV,5743
SI,CV,2845
SI,PL,4475
SI,NO,10867
SI,GB,6915
SI,AU,6299
SI,GM,7062
SI,NL,14097
SI,NZ,6377
SI,SC,3327
SI,GW,1399
SI,IT,17732
SI,LR,1211
SI,BG,16005
SI,JM,1450
SI,GQ,831
SI,GE,2236
SI,AZ,1081
SI,CZ,13516
SI,SG,1990
SI,DO,1966
SI,BH,1086
SI,LV,10309
SI,SE,14418
GN,FJ,917
GN,ES,14014
GN,BR,1202
GN,AG,3821
GN,AE,7537
GN,BB,1965
GN,DK,906
GN,GD,4417
GN,FI,1306
GN,AL,1285
GN,CO,910
GN,EG,6527
BT,BJ,1462
BT,BD,5710
BT,BN,2782
BT,BE,1666
BT,AT,1481
AZ,AE,3636
AZ,AL,1587
AZ,AO,1112
AZ,AT,3085
BD,BA,1323
BD,AU,2453
BD,AZ,994
BD,AO,2105
BD,AT,721
QA,FJ,5357
QA,FI,3196
QA,GR,9165
QA,BO,752
QA,BA,6854
QA,ES,2649
QA,MN,711
QA,BR,973
QA,MA,13353
QA,HU,1617
QA,KI,4064
QA,EE,1471
QA,KR,4168
QA,BB,2352
QA,HK,14314
QA,NO,4609
QA,MW,3480
QA,PL,961
QA,GD,3046
QA,LY,9687
QA,FR,4341
QA,GN,12576
QA,LS,2248
QA,MM,1418
QA,MG,3060
QA,AG,4292
QA,CM,5390
QA,BS,3813
QA,BW,3923
QA,NI,1386
QA,PT,6371
QA,ML,3793
QA,PY,1749
QA,DZ,4730
QA,BI,10651
QA,ME,4005
QA,ID,3853
QA,IS,5153
QA,KH,1623
QA,BJ,3203
QA,CO,920
QA,LA,1148
QA,DK,3420
QA,NL,3654
QA,EC,844
QA,LT,1185
QA,LC,2693
QA,GA,3006
QA,CH,6207
QA,BY,2316
QA,MU,22031
QA,MK,7481
QA,MD,2047
QA,KM,11719
QA,CD,2530
QA,NE,4872
QA,AU,11202
QA,PA,1595
QA,GB,9444
QA,PG,4035
QA,LU,5253
QA,CF,5623
QA,KG,3109
QA,IE,11325
QA,MZ,3746
QA,HR,3781
QA,DE,4191
QA,CV,2188
QA,CG,3364
QA,NZ,13841
QA,IT,5095
QA,LR,10872
QA,CA,11409
QA,BF,4251
QA,JM,4021
QA,GQ,7495
QA,JP,4765
QA,BZ,2330
QA,BE,3124
QA,AL,2843
QA,HT,1870
QA,AM,1750
QA,GW,3137
QA,NG,7169
QA,CR,1767
QA,AZ,2503
QA,KZ,1420
QA,GE,2716
QA,CI,2995
QA,BG,1555
QA,CZ,1185
QA,AO,2492
QA,AT,3504
QA,DO,1459
QA,GY,5089
QA,LV,1684
QA,HN,1301
BH,BA,2842
GY,DZ,1657
GY,BD,1427
GY,CM,5076
GY,AR,1423
GY,BI,2785
BH,AM,971
GY,ES,1192
GY,GW,4177
GY,BW,11328
GY,BO,2011
GY,CF,4066
GY,FR,1868
GY,AE,3965
GY,GT,2278
GY,CV,6066
GY,BR,5470
GY,ET,1549
GY,CD,5205
GY,BF,2842
BH,BF,1913
GY,EC,4156
GY,DE,722
GY,GE,925
GY,GH,11538
GY,EG,974
BH,AG,3831
GY,GB,8188
GY,GQ,8701
GY,BT,748
GY,CH,1728
GY,AU,1207
BH,AU,8087
GY,CL,3518
GY,BJ,5783
GY,CI,4410
GY,GA,5817
BH,AT,2453
GY,BE,1355
BH,BE,2242
GY,AO,6424
BH,AO,1967
GY,DJ,2419
GY,AL,956
BH,AL,1866
GY,BN,881
GY,CG,8063
BH,BB,3127
GY,CO,6547
BH,AZ,1944
GY,CY,1517
ZA,PT,1764
ZA,BS,3571
ZA,GB,4663
ZA,TG,21153
ZA,GH,17320
ZA,LC,3554
ZA,TT,3193
ZA,AU,4847
ZA,MV,2664
ZA,PG,2819
ZA,LB,4846
ZA,CH,2044
ZA,MT,3774
ZA,GW,10494
ZA,BN,1062
ZA,NE,9846
ZA,TO,1082
ZA,SN,10730
ZA,CF,8928
ZA,BE,1378
ZA,BF,9474
ZA,IS,839
ZA,DE,1143
ZA,IE,5003
ZA,BD,2548
ZA,ML,11793
ZA,SB,1743
ZA,DJ,6646
ZA,PK,2328
ZA,SC,16478
ZA,CI,11018
ZA,LU,2017
ZA,WS,844
ZA,SG,983
ZA,AT,1033
ZA,DO,1989
ZA,GY,5613
ZA,BH,4360
ZA,SE,1264
CH,BO,5004
CH,BR,4478
CH,AG,9114
CH,BT,5381
CH,BB,7053
CH,BW,1643
CH,BI,4727
CH,BN,1888
CH,CA,13018
CH,AM,4657
CH,BF,4801
CH,AR,3704
CH,BG,19863
CH,AE,7485
CH,CG,6337
CH,BZ,2561
CH,BY,5580
CH,AU,12367
CH,CD,6327
CH,BJ,4001
CH,AZ,3252
CH,BS,7622
CH,CF,8387
CH,AO,5062
CH,BH,3678
MM,LK,860
MM,KR,4111
MM,BT,1919
MM,ID,742
MM,BN,2592
MM,LA,13504
MM,AE,1253
MM,JP,3540
MM,HK,1488
MM,KH,6951
MM,AU,2087
MM,BD,1409
MM,BH,883
RW,FJ,1534
RW,KI,2768
RW,LS,18173
RW,PL,1560
RW,KR,1217
RW,LK,2287
RW,CY,13882
RW,IN,1354
RW,NI,1020
RW,BT,1427
RW,JO,2438
RW,MG,15585
RW,DK,2841
RW,RO,812
RW,AE,13180
RW,QA,11273
RW,PH,1596
RW,GQ,13182
RW,GD,3591
RW,DZ,1976
RW,PY,816
GR,DO,1244
FI,BH,1784
GR,BH,10671
PA,LB,3054
PA,GR,1167
PA,MA,3248
PA,OM,1241
PA,CM,1003
PA,MU,1066
PA,FJ,705
PA,IT,2327
PA,LR,2530
PA,ML,1233
PA,AE,1466
PA,DK,1180
PA,BO,8270
PA,LK,1038
PA,DZ,1460
PA,BR,3081
PA,GT,15712
PA,GM,2356
PA,HK,1088
PA,ES,13846
PA,FR,1142
PA,JO,1059
PA,BI,739
PA,BF,1056
PA,AR,7937
PA,CA,3242
PA,BB,8163
PA,HT,11024
PA,KW,897
PA,GA,1127
PA,ME,1150
PA,GD,4659
PA,AG,7612
PA,MX,7578
PA,CL,16781
PA,CG,1564
PA,MG,1165
PA,CH,4417
PA,GH,1691
PA,EC,20262
PA,MR,933
PA,KI,2881
PA,LC,4313
PA,CV,2693
PA,EG,881
PA,GB,1118
PA,NG,902
PA,MV,929
PA,NL,1681
PA,LU,2966
PA,HR,704
PA,GW,1639
PA,BJ,3622
PA,NZ,1070
PA,GN,1538
PA,NO,1149
PA,KE,1028
PA,AU,1103
PA,MZ,1882
PA,CD,1122
PA,NE,1042
PA,BS,11754
PA,CF,914
PA,GQ,5963
PA,BZ,19420
PA,CY,1108
PA,IE,2247
PA,IS,2703
PA,BE,1621
PA,DE,1412
PA,CI,1322
PA,JM,11157
PA,MT,3328
PA,AO,2820
PA,AT,1333
PA,GY,7244
PA,BH,1040
PA,LV,831
BW,BT,930
BW,AE,4411
BW,BD,1544
BW,BI,20756
BW,BB,6119
BW,BN,914
BW,AL,904
BW,BE,951
BW,AU,4389
BW,BS,7534
BW,AG,13867
BW,AZ,822
BW,BH,2724
ID,FJ,1294
ID,BD,2237
ID,BS,737
ID,GN,901
ID,AE,5670
ID,BT,955
ID,HK,17184
ID,DZ,892
ID,ET,2845
ID,HT,810
ID,DJ,1347
ID,CG,725
ID,CY,713
ID,GH,971
ID,BJ,885
ID,GA,807
ID,AU,2003
ID,GW,1130
ID,EG,960
ID,GM,1599
ID,AO,1137
ID,DO,830
ID,GY,757
ID,BH,4637
HR,FI,5328
HR,GR,6914
HR,BS,1036
HR,CY,7319
HR,AE,3355
HR,BB,1836
TG,LB,20054
GB,BD,2959
TG,BD,2165
TG,IT,5230
GB,BZ,4080
TG,BZ,2680
GB,CF,1473
TG,IE,2731
TG,JM,14898
GB,CD,2546
GB,AZ,1253
TG,AZ,2046
TG,CY,8904
TG,NL,2013
GB,DJ,5289
TG,DJ,18687
GB,CA,12407
TG,CA,7116
TG,SB,5256
GB,DE,10335
TG,DE,7746
TG,PK,2284
TG,GE,1062
TG,MT,7158
TG,IS,2672
GB,CI,1730
GB,CZ,9560
GB,AO,3342
TG,SG,913
GB,AT,10829
TG,AT,1554
GB,DO,1833
TG,DO,4703
TG,GY,6880
GB,BH,8955
TG,BH,4739
TG,LV,1171
TG,SE,1497
TG,HN,1926
TO,PH,2994
TO,IN,764
TO,PA,1159
TO,KE,1262
TO,AG,6764
TO,GE,1339
TO,OM,1339
TO,ES,703
TO,MA,11757
TO,MW,3416
TO,BS,2780
TO,CM,1512
TO,MG,1535
TO,LS,981
TO,ML,1119
TO,LK,3071
TO,BB,5048
TO,BT,1105
TO,TN,3363
TO,SL,6129
TO,SA,1241
TO,BW,2569
TO,BI,1470
TO,GM,3923
TO,CA,2132
TO,NG,4100
TO,DK,1479
TO,DZ,2200
TO,RO,2175
TO,AE,1966
TO,HT,1823
TO,IS,1738
TO,ST,2492
TO,ID,932
TO,HK,1081
TO,GA,849
TO,MR,1050
TO,GN,1217
TO,RW,1216
TO,CV,20447
TO,EG,721
TO,KW,1301
TO,QA,2458
TO,BD,1429
TO,NO,765
TO,ET,770
TO,CG,1358
TO,GH,3908
TO,BJ,6402
TO,TD,736
TO,KM,2210
TO,LC,8806
TO,MY,761
TO,SZ,1494
TO,GB,4498
TO,TG,1846
TO,MV,2494
TO,GW,1539
TO,CD,2186
TO,NE,1398
TO,SK,892
TO,SN,1141
TO,JP,9983
TO,MU,8275
TO,GD,7408
TO,FR,2815
TO,BN,1420
TO,BZ,17070
TO,TL,14126
TO,BF,907
TO,LR,6189
TO,CH,1727
TO,DE,1196
TO,GQ,994
TO,IE,2081
TO,TJ,1779
TO,JM,4202
TO,CF,1262
TO,CY,1201
TO,PL,998
TO,MZ,1945
TO,MT,2224
TO,SC,7928
TO,DJ,2972
TO,PK,1869
TO,CI,1253
TO,CZ,1418
TO,AO,1506
TO,SG,1555
TO,AT,1029
TO,DO,2523
TO,BH,1342
TO,SE,2036
TO,HN,736
DO,AL,1338
DO,AO,7995
DO,AR,9865
DO,BJ,6586
DO,BY,978
DO,CF,3564
DO,AE,1607
DO,BI,2447
DO,CG,8402
DO,CM,4366
DO,AT,4882
DO,CA,5986
DO,BF,2733
DO,BA,1035
DO,CD,5384
DO,BB,7479
DO,CI,4318
DO,CV,4089
DO,DE,2877
DO,BW,5530
DO,CY,1362
DO,BO,7037
TN,MZ,2109
TN,CR,1906
TN,NL,3107
TN,LU,19580
TN,GW,2929
TN,KI,1244
TN,SB,1124
TN,CF,14895
TN,IS,1600
TN,LB,13759
TN,AZ,962
TN,CZ,2694
TN,AO,2590
TN,AT,5315
TN,DO,2454
TN,GY,1717
TN,BH,9662
TN,LV,6015
TN,SE,4059
TN,HN,2980
TL,LK,4400
TL,MU,1219
TL,KI,10337
TL,PA,898
TL,MN,788
TL,BZ,1724
TL,RW,1363
TL,NI,1051
TL,BR,2023
TL,MW,732
TL,MA,935
TL,CM,772
TL,FJ,10360
TL,MY,13645
TL,AE,1912
TL,GN,944
TL,OM,1715
TL,SC,1981
TL,SR,1814
TL,ST,14996
TL,BW,835
TL,MG,1667
TL,BI,1123
TL,SA,1574
TL,IN,882
TL,BO,709
TL,GA,795
TL,IT,999
TL,LR,2043
