"ID","region"
"AE","Middle East & North Africa"
"AG","Latin America & Caribbean"
"AL","Europe & Central Asia"
"AM","Europe & Central Asia"
"AO","Sub-Saharan Africa"
"AR","Latin America & Caribbean"
"AT","Europe & Central Asia"
"AU","East Asia & Pacific"
"AZ","Europe & Central Asia"
"BA","Europe & Central Asia"
"BB","Latin America & Caribbean"
"BD","South Asia"
"BE","Europe & Central Asia"
"BF","Sub-Saharan Africa"
"BG","Europe & Central Asia"
"BH","Middle East & North Africa"
"BI","Sub-Saharan Africa"
"BJ","Sub-Saharan Africa"
"BN","East Asia & Pacific"
"BO","Latin America & Caribbean"
"BR","Latin America & Caribbean"
"BS","Latin America & Caribbean"
"BT","South Asia"
"BW","Sub-Saharan Africa"
"BY","Europe & Central Asia"
"BZ","Latin America & Caribbean"
"CA","North America"
"CD","Sub-Saharan Africa"
"CF","Sub-Saharan Africa"
"CG","Sub-Saharan Africa"
"CH","Europe & Central Asia"
"CI","Sub-Saharan Africa"
"CL","Latin America & Caribbean"
"CM","Sub-Saharan Africa"
"CO","Latin America & Caribbean"
"CR","Latin America & Caribbean"
"CV","Sub-Saharan Africa"
"CY","Europe & Central Asia"
"CZ","Europe & Central Asia"
"DE","Europe & Central Asia"
"DJ","Middle East & North Africa"
"DK","Europe & Central Asia"
"DO","Latin America & Caribbean"
"DZ","Middle East & North Africa"
"EC","Latin America & Caribbean"
"EE","Europe & Central Asia"
"EG","Middle East & North Africa"
"ES","Europe & Central Asia"
"ET","Sub-Saharan Africa"
"FI","Europe & Central Asia"
"FJ","East Asia & Pacific"
"FR","Europe & Central Asia"
"GA","Sub-Saharan Africa"
"GB","Europe & Central Asia"
"GD","Latin America & Caribbean"
"GE","Europe & Central Asia"
"GH","Sub-Saharan Africa"
"GM","Sub-Saharan Africa"
"GN","Sub-Saharan Africa"
"GQ","Sub-Saharan Africa"
"GR","Europe & Central Asia"
"GT","Latin America & Caribbean"
"GW","Sub-Saharan Africa"
"GY","Latin America & Caribbean"
"HK","East Asia & Pacific"
"HN","Latin America & Caribbean"
"HR","Europe & Central Asia"
"HT","Latin America & Caribbean"
"HU","Europe & Central Asia"
"ID","East Asia & Pacific"
"IE","Europe & Central Asia"
"IN","South Asia"
"IS","Europe & Central Asia"
"IT","Europe & Central Asia"
"JM","Latin America & Caribbean"
"JO","Middle East & North Africa"
"JP","East Asia & Pacific"
"KE","Sub-Saharan Africa"
"KG","Europe & Central Asia"
"KH","East Asia & Pacific"
"KI","East Asia & Pacific"
"KM","Sub-Saharan Africa"
"KR","East Asia & Pacific"
"KW","Middle East & North Africa"
"KZ","Europe & Central Asia"
"LA","East Asia & Pacific"
"LB","Middle East & North Africa"
"LC","Latin America & Caribbean"
"LK","South Asia"
"LR","Sub-Saharan Africa"
"LS","Sub-Saharan Africa"
"LT","Europe & Central Asia"
"LU","Europe & Central Asia"
"LV","Europe & Central Asia"
"LY","Middle East & North Africa"
"MA","Middle East & North Africa"
"MD","Europe & Central Asia"
"ME","Europe & Central Asia"
"MG","Sub-Saharan Africa"
"MK","Europe & Central Asia"
"ML","Sub-Saharan Africa"
"MM","East Asia & Pacific"
"MN","East Asia & Pacific"
"MR","Sub-Saharan Africa"
"MT","Middle East & North Africa"
"MU","Sub-Saharan Africa"
"MV","South Asia"
"MW","Sub-Saharan Africa"
"MX","Latin America & Caribbean"
"MY","East Asia & Pacific"
"MZ","Sub-Saharan Africa"
"NE","Sub-Saharan Africa"
"NG","Sub-Saharan Africa"
"NI","Latin America & Caribbean"
"NL","Europe & Central Asia"
"NO","Europe & Central Asia"
"NP","South Asia"
"NZ","East Asia & Pacific"
"OM","Middle East & North Africa"
"PA","Latin America & Caribbean"
"PE","Latin America & Caribbean"
"PG","East Asia & Pacific"
"PH","East Asia & Pacific"
"PK","South Asia"
"PL","Europe & Central Asia"
"PT","Europe & Central Asia"
"PY","Latin America & Caribbean"
"QA","Middle East & North Africa"
"RO","Europe & Central Asia"
"RS","Europe & Central Asia"
"RW","Sub-Saharan Africa"
"SA","Middle East & North Africa"
"SB","East Asia & Pacific"
"SC","Sub-Saharan Africa"
"SE","Europe & Central Asia"
"SG","East Asia & Pacific"
"SI","Europe & Central Asia"
"SK","Europe & Central Asia"
"SL","Sub-Saharan Africa"
"SN","Sub-Saharan Africa"
"SR","Latin America & Caribbean"
"ST","Sub-Saharan Africa"
"SV","Latin America & Caribbean"
"SZ","Sub-Saharan Africa"
"TD","Sub-Saharan Africa"
"TG","Sub-Saharan Africa"
"TH","East Asia & Pacific"
"TJ","Europe & Central Asia"
"TL","East Asia & Pacific"
"TN","Middle East & North Africa"
"TO","East Asia & Pacific"
"TR","Europe & Central Asia"
"TT","Latin America & Caribbean"
"TW","East Asia & Pacific"
"TZ","Sub-Saharan Africa"
"UA","Europe & Central Asia"
"UG","Sub-Saharan Africa"
"US","North America"
"UY","Latin America & Caribbean"
"UZ","Europe & Central Asia"
"VC","Latin America & Caribbean"
"VN","East Asia & Pacific"
"VU","East Asia & Pacific"
"WS","East Asia & Pacific"
"ZA","Sub-Saharan Africa"
"ZM","Sub-Saharan Africa"
"ZW","Sub-Saharan Africa"
